id,domain,era,difficulty,question,core_tension,philosopher_refs,followup_strategy,status
q028,社会哲学,德国观念论,进阶,"如果自我需要他人的承认，独立是否仍然可能？",承认与自主,hegel,实践含义,reviewed
q029,伦理学,功利主义,入门,"为了让更多人幸福，可以牺牲一个无辜者吗？",总体幸福与个人权利,bentham|mill,思想实验,reviewed
q030,欲望,19世纪,入门,"欲望得到满足后的空虚，说明应该减少欲望还是改变欲望对象？",欲望与满足,schopenhauer,实践含义,reviewed
q031,存在主义,19世纪,进阶,"当没有客观证据足以决定时，选择是否只能是一种跳跃？",证据与承诺,kierkegaard,现实案例,reviewed
q032,政治哲学,19世纪,进阶,"只要没有直接伤害他人，个人选择就不应被干涉吗？",个人自由与社会伤害,mill,边界检验,reviewed
q033,社会哲学,19世纪,进阶,"工作产品不属于自己时，人在哪些意义上与自己疏离？",劳动与异化,marx,现实案例,reviewed
q034,历史哲学,19世纪,进阶,"社会结构限制选择，是否会削弱个人责任？",结构与能动性,marx,概念分层,reviewed
q035,伦理学,19世纪,进阶,"发现道德具有历史来源，会削弱它的约束力吗？",谱系与正当性,nietzsche,前提暴露,reviewed
q036,存在主义,19世纪,进阶,"价值需要由自己创造时，怎样避免任意和自我欺骗？",价值创造与任意性,nietzsche,反例检验,reviewed
q037,实用主义,19世纪,入门,"一个观念在实践中有效，是否足以说明它是真的？",效用与真理,peirce|william_james,概念澄清,reviewed
q038,语言哲学,分析哲学,进阶,"两个词指向同一对象时，它们为什么仍可能表达不同意义？",意义与指称,frege,例子构造,reviewed
q039,语言哲学,分析哲学,入门,"一个词的意义主要来自定义，还是来自人们怎样使用它？",定义与使用,wittgenstein,现实案例,reviewed
q040,语言哲学,分析哲学,进阶,"完全私人且只有自己能理解的语言可能存在吗？",私人经验与公共规则,wittgenstein,思想实验,reviewed
q041,科学哲学,20世纪,入门,"无法被任何证据推翻的理论，为什么不一定更可靠？",可证伪性与确定性,popper,反例检验,reviewed
q042,科学哲学,20世纪,进阶,"科学共同体改变范式时，是更接近真理还是换了一套问题？",进步与范式,kuhn|popper,立场比较,reviewed
q043,认识论,20世纪,进阶,"一个信念可以单独接受经验检验，还是只能与整个理论网络一起检验？",整体论与单独检验,quine,概念澄清,reviewed
q044,现象学,20世纪,进阶,"暂时搁置对外部世界的判断，能否让经验本身变得更清楚？",自然态度与还原,husserl,方法检验,reviewed
q045,存在主义,20世纪,进阶,"人的自我理解原本就在关系和世界中，孤立的真实自我还存在吗？",在世存在与内在自我,heidegger,概念澄清,reviewed
q046,存在主义,20世纪,进阶,"无法不选择是否意味着人在任何处境中都应承担全部责任？",自由与处境,sartre|beauvoir,边界检验,reviewed
q047,存在主义,20世纪,入门,"如果世界没有预设意义，持续生活需要什么理由？",荒诞与反抗,camus,实践含义,reviewed
q048,女性主义,20世纪,进阶,"一个人的选择受到社会角色塑造时，怎样判断它是否自主？",处境与自主,beauvoir|judith_butler,现实案例,reviewed
q049,政治哲学,20世纪,进阶,"遵守命令是否能免除一个人对行为后果的责任？",服从与责任,arendt,反例检验,reviewed
q050,解释学,20世纪,进阶,"带着前理解阅读文本，是理解的障碍还是必要条件？",偏见与理解,gadamer,概念校正,reviewed
q051,社会哲学,20世纪,进阶,"知识分类如果总与权力相连，客观判断是否仍然可能？",知识与权力,foucault,边界检验,reviewed
q052,语言哲学,20世纪,进阶,"文本意义能被作者意图最终固定吗？",作者意图与文本,derrida|gadamer,立场比较,reviewed
q053,政治哲学,当代,入门,"不知道自己将出生在什么位置时，你会选择怎样的社会规则？",公平与无知之幕,rawls,思想实验,reviewed
q054,政治哲学,当代,进阶,"个人合法获得的财产是否可以为了改善最弱者处境而重新分配？",资格与再分配,rawls|nozick,立场比较,reviewed
q055,伦理学,当代,进阶,"距离是否会降低我们帮助陌生人的道德义务？",亲近偏好与普遍责任,peter_singer,现实案例,reviewed
q056,伦理学,当代,进阶,"一种好生活是否必须嵌入共同传统，还是可以由个人独立设计？",传统与自主,macintyre|sartre,立场比较,reviewed
q057,政治哲学,当代,进阶,"只有不受强迫的讨论，才能产生正当共识吗？",沟通条件与合法性,habermas,现实检验,reviewed
q058,心灵哲学,当代,入门,"知道大脑的全部事实，是否等于知道一种体验是什么感觉？",客观知识与主观体验,thomas_nagel,思想实验,reviewed
q059,关系伦理,跨时代,进阶,"为了维持亲密关系而改变自己，哪些条件使改变仍然属于成长？",联结与主体性,aristotle|beauvoir|fromm,实践检验,reviewed
q060,元哲学,跨时代,进阶,"哲学的价值来自给出答案，还是来自改善我们提出和检验问题的方式？",答案与方法,socrates|wittgenstein|popper,反思总结,reviewed
