index,name_zh,name_original,folder
33,"杜威","John Dewey","C:\Users\30290\Desktop\PhilosophyOS\photo\杜威"
34,"狄德罗","Denis Diderot","C:\Users\30290\Desktop\PhilosophyOS\photo\狄德罗"
35,"第欧根尼","Diogenes of Sinope","C:\Users\30290\Desktop\PhilosophyOS\photo\第欧根尼"
36,"戴维森","Donald Davidson","C:\Users\30290\Desktop\PhilosophyOS\photo\戴维森"
37,"邓斯·司各脱","John Duns Scotus","C:\Users\30290\Desktop\PhilosophyOS\photo\邓斯·司各脱"
38,"涂尔干","Emile Durkheim","C:\Users\30290\Desktop\PhilosophyOS\photo\涂尔干"
39,"爱比克泰德","Epictetus","C:\Users\30290\Desktop\PhilosophyOS\photo\爱比克泰德"
40,"伊壁鸠鲁","Epicurus","C:\Users\30290\Desktop\PhilosophyOS\photo\伊壁鸠鲁"
41,"弗洛姆","Erich Fromm","C:\Users\30290\Desktop\PhilosophyOS\photo\弗洛姆"
42,"费尔巴哈","Ludwig Feuerbach","C:\Users\30290\Desktop\PhilosophyOS\photo\费尔巴哈"
43,"费耶阿本德","Paul Feyerabend","C:\Users\30290\Desktop\PhilosophyOS\photo\费耶阿本德"
44,"费希特","Johann Gottlieb Fichte","C:\Users\30290\Desktop\PhilosophyOS\photo\费希特"
45,"福柯","Michel Foucault","C:\Users\30290\Desktop\PhilosophyOS\photo\福柯"
46,"弗雷格","Gottlob Frege","C:\Users\30290\Desktop\PhilosophyOS\photo\弗雷格"
47,"摩尔","G. E. Moore","C:\Users\30290\Desktop\PhilosophyOS\photo\摩尔"
48,"伽达默尔","Hans-Georg Gadamer","C:\Users\30290\Desktop\PhilosophyOS\photo\伽达默尔"
49,"齐美尔","Georg Simmel","C:\Users\30290\Desktop\PhilosophyOS\photo\齐美尔"
50,"布鲁诺","Giordano Bruno","C:\Users\30290\Desktop\PhilosophyOS\photo\布鲁诺"
51,"葛兰西","Antonio Gramsci","C:\Users\30290\Desktop\PhilosophyOS\photo\葛兰西"
52,"哈贝马斯","Jurgen Habermas","C:\Users\30290\Desktop\PhilosophyOS\photo\哈贝马斯"
53,"唐娜·哈拉维","Donna Haraway","C:\Users\30290\Desktop\PhilosophyOS\photo\唐娜·哈拉维"
54,"哈耶克","Friedrich Hayek","C:\Users\30290\Desktop\PhilosophyOS\photo\哈耶克"
55,"黑格尔","Georg Wilhelm Friedrich Hegel","C:\Users\30290\Desktop\PhilosophyOS\photo\黑格尔"
56,"海德格尔","Martin Heidegger","C:\Users\30290\Desktop\PhilosophyOS\photo\海德格尔"
57,"赫拉克利特","Heraclitus","C:\Users\30290\Desktop\PhilosophyOS\photo\赫拉克利特"
58,"普特南","Hilary Putnam","C:\Users\30290\Desktop\PhilosophyOS\photo\普特南"
59,"霍布斯","Thomas Hobbes","C:\Users\30290\Desktop\PhilosophyOS\photo\霍布斯"
60,"霍克海默","Max Horkheimer","C:\Users\30290\Desktop\PhilosophyOS\photo\霍克海默"
61,"休谟","David Hume","C:\Users\30290\Desktop\PhilosophyOS\photo\休谟"
62,"胡塞尔","Edmund Husserl","C:\Users\30290\Desktop\PhilosophyOS\photo\胡塞尔"
63,"拉康","Jacques Lacan","C:\Users\30290\Desktop\PhilosophyOS\photo\拉康"
64,"雅斯贝尔斯","Karl Jaspers","C:\Users\30290\Desktop\PhilosophyOS\photo\雅斯贝尔斯"
65,"鲍德里亚","Jean Baudrillard","C:\Users\30290\Desktop\PhilosophyOS\photo\鲍德里亚"
66,"皮亚杰","Jean Piaget","C:\Users\30290\Desktop\PhilosophyOS\photo\皮亚杰"
67,"康德","Immanuel Kant","C:\Users\30290\Desktop\PhilosophyOS\photo\康德"
68,"克尔凯郭尔","Soren Kierkegaard","C:\Users\30290\Desktop\PhilosophyOS\photo\克尔凯郭尔"
69,"库恩","Thomas Kuhn","C:\Users\30290\Desktop\PhilosophyOS\photo\库恩"
70,"莱布尼茨","Gottfried Wilhelm Leibniz","C:\Users\30290\Desktop\PhilosophyOS\photo\莱布尼茨"
71,"维果茨基","Lev Vygotsky","C:\Users\30290\Desktop\PhilosophyOS\photo\维果茨基"
72,"列维纳斯","Emmanuel Levinas","C:\Users\30290\Desktop\PhilosophyOS\photo\列维纳斯"
73,"洛克","John Locke","C:\Users\30290\Desktop\PhilosophyOS\photo\洛克"
74,"卢克莱修","Lucretius","C:\Users\30290\Desktop\PhilosophyOS\photo\卢克莱修"
75,"马基雅维利","Niccolo Machiavelli","C:\Users\30290\Desktop\PhilosophyOS\photo\马基雅维利"
76,"麦金太尔","Alasdair MacIntyre","C:\Users\30290\Desktop\PhilosophyOS\photo\麦金太尔"
77,"迈蒙尼德","Maimonides","C:\Users\30290\Desktop\PhilosophyOS\photo\迈蒙尼德"
78,"马可·奥勒留","Marcus Aurelius","C:\Users\30290\Desktop\PhilosophyOS\photo\马可·奥勒留"
79,"马尔库塞","Herbert Marcuse","C:\Users\30290\Desktop\PhilosophyOS\photo\马尔库塞"
80,"玛莎·努斯鲍姆","Martha Nussbaum","C:\Users\30290\Desktop\PhilosophyOS\photo\玛莎·努斯鲍姆"
81,"马克思","Karl Marx","C:\Users\30290\Desktop\PhilosophyOS\photo\马克思"
82,"韦伯","Max Weber","C:\Users\30290\Desktop\PhilosophyOS\photo\韦伯"
83,"梅洛-庞蒂","Maurice Merleau-Ponty","C:\Users\30290\Desktop\PhilosophyOS\photo\梅洛-庞蒂"
84,"约翰·斯图亚特·密尔","John Stuart Mill","C:\Users\30290\Desktop\PhilosophyOS\photo\约翰·斯图亚特·密尔"
85,"蒙田","Michel de Montaigne","C:\Users\30290\Desktop\PhilosophyOS\photo\蒙田"
86,"孟德斯鸠","Montesquieu","C:\Users\30290\Desktop\PhilosophyOS\photo\孟德斯鸠"
87,"尼采","Friedrich Nietzsche","C:\Users\30290\Desktop\PhilosophyOS\photo\尼采"
88,"诺齐克","Robert Nozick","C:\Users\30290\Desktop\PhilosophyOS\photo\诺齐克"
89,"奥卡姆","William of Ockham","C:\Users\30290\Desktop\PhilosophyOS\photo\奥卡姆"
90,"巴门尼德","Parmenides","C:\Users\30290\Desktop\PhilosophyOS\photo\巴门尼德"
91,"帕斯卡","Blaise Pascal","C:\Users\30290\Desktop\PhilosophyOS\photo\帕斯卡"
92,"皮尔士","Charles Sanders Peirce","C:\Users\30290\Desktop\PhilosophyOS\photo\皮尔士"
93,"布迪厄","Pierre Bourdieu","C:\Users\30290\Desktop\PhilosophyOS\photo\布迪厄"
94,"柏拉图","Plato","C:\Users\30290\Desktop\PhilosophyOS\photo\柏拉图"
95,"普罗提诺","Plotinus","C:\Users\30290\Desktop\PhilosophyOS\photo\普罗提诺"
96,"波普尔","Karl Popper","C:\Users\30290\Desktop\PhilosophyOS\photo\波普尔"
97,"普罗泰戈拉","Protagoras","C:\Users\30290\Desktop\PhilosophyOS\photo\普罗泰戈拉"
98,"皮浪","Pyrrho","C:\Users\30290\Desktop\PhilosophyOS\photo\皮浪"
99,"毕达哥拉斯","Pythagoras","C:\Users\30290\Desktop\PhilosophyOS\photo\毕达哥拉斯"
100,"蒯因","Willard Van Orman Quine","C:\Users\30290\Desktop\PhilosophyOS\photo\蒯因"
101,"罗尔斯","John Rawls","C:\Users\30290\Desktop\PhilosophyOS\photo\罗尔斯"
102,"利科","Paul Ricoeur","C:\Users\30290\Desktop\PhilosophyOS\photo\利科"
103,"罗蒂","Richard Rorty","C:\Users\30290\Desktop\PhilosophyOS\photo\罗蒂"
104,"卢梭","Jean-Jacques Rousseau","C:\Users\30290\Desktop\PhilosophyOS\photo\卢梭"
105,"罗素","Bertrand Russell","C:\Users\30290\Desktop\PhilosophyOS\photo\罗素"
106,"萨特","Jean-Paul Sartre","C:\Users\30290\Desktop\PhilosophyOS\photo\萨特"
107,"克里普克","Saul Kripke","C:\Users\30290\Desktop\PhilosophyOS\photo\克里普克"
108,"舍勒","Max Scheler","C:\Users\30290\Desktop\PhilosophyOS\photo\舍勒"
109,"谢林","Friedrich Wilhelm Joseph Schelling","C:\Users\30290\Desktop\PhilosophyOS\photo\谢林"
110,"叔本华","Arthur Schopenhauer","C:\Users\30290\Desktop\PhilosophyOS\photo\叔本华"
111,"阿马蒂亚·森","Amartya Sen","C:\Users\30290\Desktop\PhilosophyOS\photo\阿马蒂亚·森"
112,"塞涅卡","Seneca","C:\Users\30290\Desktop\PhilosophyOS\photo\塞涅卡"
113,"弗洛伊德","Sigmund Freud","C:\Users\30290\Desktop\PhilosophyOS\photo\弗洛伊德"
114,"苏格拉底","Socrates","C:\Users\30290\Desktop\PhilosophyOS\photo\苏格拉底"
115,"斯宾诺莎","Baruch Spinoza","C:\Users\30290\Desktop\PhilosophyOS\photo\斯宾诺莎"
116,"泰勒斯","Thales","C:\Users\30290\Desktop\PhilosophyOS\photo\泰勒斯"
117,"托马斯·内格尔","Thomas Nagel","C:\Users\30290\Desktop\PhilosophyOS\photo\托马斯·内格尔"
118,"托克维尔","Alexis de Tocqueville","C:\Users\30290\Desktop\PhilosophyOS\photo\托克维尔"
119,"维柯","Giambattista Vico","C:\Users\30290\Desktop\PhilosophyOS\photo\维柯"
120,"弗兰克尔","Viktor Frankl","C:\Users\30290\Desktop\PhilosophyOS\photo\弗兰克尔"
121,"伏尔泰","Voltaire","C:\Users\30290\Desktop\PhilosophyOS\photo\伏尔泰"
122,"威廉·詹姆斯","William James","C:\Users\30290\Desktop\PhilosophyOS\photo\威廉·詹姆斯"
123,"维特根斯坦","Ludwig Wittgenstein","C:\Users\30290\Desktop\PhilosophyOS\photo\维特根斯坦"
124,"玛丽·沃斯通克拉夫特","Mary Wollstonecraft","C:\Users\30290\Desktop\PhilosophyOS\photo\玛丽·沃斯通克拉夫特"
125,"芝诺","Zeno of Citium","C:\Users\30290\Desktop\PhilosophyOS\photo\芝诺"
